Rank,City,Cost_of_Living_Index,Rent_Index,Cost_of_Living_Plus_Rent_Index,Groceries_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Year
NA,"Coimbra, Portugal",50.1,14,32.8,40.4,38.7,66.2,2019
NA,"Jeddah (Jiddah), Saudi Arabia",49.6,11.1,31.1,38.6,32.7,102.7,2019
NA,"Riyadh, Saudi Arabia",49.4,13.3,32.1,39.8,37.2,113.5,2019
NA,"Suva, Fiji",49.4,31.6,40.9,55.4,36.2,32.3,2019
NA,"San Salvador, El Salvador",49.1,16.6,33.5,50.5,35.6,29.1,2019
NA,"Muscat, Oman",48.9,23.2,36.5,41.3,50.9,88.7,2019
NA,"Las Palmas de Gran Canaria, Spain",48.9,20.4,35.2,44.6,46.1,78.5,2019
NA,"Phuket, Thailand",48.9,13.7,32,54.5,26.6,51.8,2019
NA,"Ad Dammam, Saudi Arabia",48.6,12.1,31.1,40.5,32.6,124.5,2019
NA,"Bratislava, Slovakia",48.4,20.3,34.9,41,41.2,70,2019
NA,"Prague, Czech Republic",48.4,24.6,37,40.6,39.2,73.4,2019
NA,"Maribor, Slovenia",48.3,10.6,30.2,38.4,39.4,84.2,2019
NA,"Vilnius, Lithuania",48.3,16.2,32.9,36.6,50,60.4,2019
NA,"Santa Cruz de Tenerife, Spain",47.7,16.6,32.8,39.2,47.9,85.4,2019
NA,"Phnom Penh, Cambodia",47.4,18,33.3,46.4,25.7,16.4,2019
NA,"Brasilia, Brazil",47,14.3,31.3,34.4,43.4,63.2,2019
NA,"Pretoria, South Africa",47,14.6,31.4,35.1,42.6,78.2,2019
NA,"Campinas, Brazil",46.8,12.1,30.1,35.1,41.8,47.4,2019
NA,"Sao Paulo, Brazil",46.7,16.7,32.3,34.4,43.3,39.4,2019
NA,"Guayaquil, Ecuador",46.7,15.5,31.7,41,35.1,34.2,2019
NA,"Quito, Ecuador",46.5,13.2,30.5,42.7,34.8,43.7,2019
NA,"Rio de Janeiro, Brazil",46.5,16.2,32,33.6,40.3,35.6,2019
NA,"Brno, Czech Republic",46,18.1,32.6,39,36.6,75.2,2019
NA,"Johannesburg, South Africa",45.8,17,31.9,35.5,44,89.9,2019
NA,"Budapest, Hungary",45.6,16.9,31.8,35.9,37.8,57.5,2019
NA,"Kosice, Slovakia",45.4,14.9,30.8,37.8,33.6,58.7,2019
NA,"Santo Domingo, Dominican Republic",45.4,12.1,29.4,36.1,42.2,28,2019
NA,"Baghdad, Iraq",45.3,13.8,30.2,37.6,39.3,38.3,2019
NA,"Klaipeda, Lithuania",45.3,10.1,28.4,36.1,40,57.8,2019
NA,"Pattaya, Thailand",45.3,17.9,32.1,44.6,29.7,27.2,2019
NA,"Kaunas, Lithuania",45,11.2,28.8,35.8,39.6,59.6,2019
NA,"Osijek, Croatia",44.8,7.3,26.8,36.5,33.8,55.5,2019
NA,"Windhoek, Namibia",44.7,19.2,32.5,41.4,39.4,61.3,2019
NA,"Managua, Nicaragua",44.2,9.2,27.4,41,34,30.2,2019
NA,"Johor Bahru, Malaysia",44,8.5,27,54.3,24.6,59.8,2019
NA,"Olomouc, Czech Republic",43.8,12.4,28.7,39.1,30.2,76.2,2019
NA,"Recife, Brazil",43.8,8.8,27,34.9,34.7,26.9,2019
NA,"Beijing, China",43.7,32.7,38.4,39.8,36.6,70.7,2019
NA,"Belo Horizonte, Brazil",43.5,10.1,27.5,29.9,34.5,35.2,2019
NA,"Chiang Mai, Thailand",43.4,11.6,28.1,49.2,21.7,34.8,2019
NA,"Cape Town, South Africa",43.2,26.2,35,35.5,42.9,73.9,2019
NA,"Guatemala City, Guatemala",42.9,14.1,29.1,39,34,43.4,2019
NA,"Penang, Malaysia",42.9,8.5,26.4,47.1,24.6,71.6,2019
NA,"Warsaw, Poland",42.6,20.6,32,32.7,39.9,74,2019
NA,"Porto Alegre, Brazil",42.4,10.4,27,29.9,33.2,40.9,2019
NA,"Nairobi, Kenya",42.1,13.3,28.2,37.5,34.8,27.7,2019
NA,"Ostrava, Czech Republic",41.9,9.7,26.4,36.5,30.4,78.3,2019
NA,"Kuala Lumpur, Malaysia",41.8,16.2,29.5,42.1,26.4,76.1,2019
NA,"Gdansk, Poland",41.6,16.5,29.6,31.9,34.4,72.3,2019
NA,"Jakarta, Indonesia",41.5,15.3,28.9,42.7,24.1,27.5,2019
NA,"Moscow, Russia",41.5,26.5,34.3,31.9,44.6,61.7,2019
NA,"Florianopolis, Brazil",41.2,11.6,27,29.4,38.5,35.8,2019
NA,"Bali, Indonesia",41.1,8.8,25.6,45,24.3,24.1,2019
NA,"Wroclaw, Poland",41,17.5,29.7,33,36.6,67.5,2019
NA,"Gdynia, Poland",40.9,14.6,28.3,31.5,37.7,72.5,2019
NA,"Erbil (Irbil), Iraq",40.9,11.1,26.6,35.6,29.4,52.3,2019
NA,"Port Elizabeth, South Africa",40.7,10.3,26.1,33.6,35,71.9,2019
NA,"Curitiba, Brazil",40.6,9.7,25.8,28.2,33.6,38.7,2019
NA,"Krakow (Cracow), Poland",40.4,17,29.2,32,33.5,69.3,2019
NA,"Guangzhou, China",40.4,17,29.2,41.6,26,73.8,2019
NA,"Sofia, Bulgaria",40.2,12.6,26.9,34.1,32.7,61.3,2019
NA,"Bydgoszcz, Poland",40.1,12.8,27,34.1,31.7,64,2019
NA,"Shenzhen, China",40.1,23.3,32,38.2,31.1,82.1,2019
NA,"Durban, South Africa",40,13.6,27.3,31.9,38.7,87.8,2019
NA,"Lima, Peru",39.8,13.8,27.3,35.2,29.2,37.2,2019
NA,"Podgorica, Montenegro",39.7,10.2,25.5,31.9,32,48.5,2019
NA,"Tehran, Iran",39.6,22.7,31.5,34.8,31.6,34.5,2019
NA,"Bucharest, Romania",39.6,12.8,26.7,31.5,39,57.5,2019
NA,"Poznan, Poland",39.6,13.2,26.9,31.5,32.7,65.8,2019
NA,"Constanta, Romania",39.3,7.9,24.2,29.8,39.4,48.8,2019
NA,"Belgrade, Serbia",39.3,11.4,25.9,29.1,34.3,38,2019
NA,"Sarajevo, Bosnia And Herzegovina",39.1,9.1,24.7,31.1,28,45.3,2019
NA,"Hanoi, Vietnam",38.9,12.4,26.2,38.8,21.2,39.1,2019
NA,"Manila, Philippines",38.9,17.4,28.6,33.4,25.3,38.8,2019
NA,"Debrecen, Hungary",38.8,10.1,25.1,30.3,32.2,54.1,2019
NA,"Dar es Salaam, Tanzania",38.7,20.9,30.1,29.7,29.9,26.4,2019
NA,"La Paz, Bolivia",38.6,12,25.9,32.4,33.9,38.3,2019
NA,"Varna, Bulgaria",38.5,8.3,24,33.1,32.8,48.8,2019
NA,"Santa Cruz, Bolivia",38.5,12.2,25.9,31.4,28.1,52.2,2019
NA,"Ho Chi Minh City, Vietnam",38.4,15.1,27.2,39.3,19.1,29.9,2019
NA,"Rabat, Morocco",38,13.9,26.4,33.4,26.1,44,2019
NA,"Szczecin, Poland",38,12.4,25.7,27.9,31.2,56.1,2019
NA,"Katowice, Poland",37.9,11,25,29.5,31.8,72.2,2019
NA,"Cluj-Napoca, Romania",37.8,13.3,26.1,31.7,33,54.2,2019
NA,"Lodz, Poland",37.7,11.2,25,29.4,31.3,67.2,2019
NA,"Istanbul, Turkey",37.7,10,24.4,32.1,27.6,42,2019
NA,"Tirana, Albania",37.6,9.9,24.3,29.7,29.5,33.8,2019
NA,"Brasov, Romania",37.4,10.2,24.3,30.5,32.6,60.8,2019
NA,"Chengdu, China",37.4,11.7,25.1,39.4,26.4,80.7,2019
NA,"Timisoara, Romania",37.3,10.7,24.5,31.4,33.1,53.7,2019
NA,"Cebu, Philippines",37.2,11.2,24.7,35.4,20.8,25.9,2019
NA,"Saint Petersburg, Russia",37.2,16.1,27.1,30.6,37.8,52.1,2019
NA,"Arad, Romania",36.9,8.3,23.2,33.1,24.5,54.5,2019
NA,"Lublin, Poland",36.8,13.3,25.5,30,29.1,64.6,2019
NA,"Surabaya, Indonesia",36.5,7,22.4,42.8,18.4,35.1,2019
NA,"Tijuana, Mexico",36.4,11.2,24.3,33.7,35.4,48.7,2019
NA,"Banja Luka, Bosnia And Herzegovina",36.3,6.9,22.2,29.1,24.4,48.5,2019
NA,"Casablanca, Morocco",36.2,13.9,25.5,30.1,28.6,36.6,2019
NA,"Plovdiv, Bulgaria",36.2,7.7,22.5,30.7,29.1,53.6,2019
NA,"Iasi, Romania",36.1,9.5,23.3,29.9,32,53.6,2019
NA,"Bursa, Turkey",36,5.5,21.3,33.7,21.7,43.8,2019
NA,"Cancun, Mexico",35.9,12.2,24.6,32.1,34.3,48.4,2019
NA,"Burgas, Bulgaria",35.8,7,22,30.6,30.1,45,2019
NA,"Cuenca, Ecuador",35.8,10.6,23.7,32.6,24.5,43.2,2019
NA,"Quezon City, Philippines",35.5,8.4,22.5,29.5,21.9,26.7,2019
NA,"Ulaanbaatar, Mongolia",35.3,9.3,22.8,33.3,24.5,30.1,2019
NA,"Mexico City, Mexico",35.3,17.6,26.8,32.1,31.3,49.8,2019
NA,"Buenos Aires, Argentina",35.3,10.6,23.4,28.6,34,53.5,2019
NA,"Izmir, Turkey",35.2,7.4,21.9,30.2,24,43.4,2019
NA,"Bandung, Indonesia",35.1,5.9,21.1,37.6,16.1,30.7,2019
NA,"Monterrey, Mexico",35,11.5,23.7,32.1,33.8,65.9,2019
NA,"Oradea, Romania",34.9,7.1,21.6,30.6,27.1,51.1,2019
NA,"Sibiu, Romania",34.9,8.7,22.3,29.7,28.4,56,2019
NA,"Lagos, Nigeria",34.8,38.6,36.6,34.1,27.3,14.4,2019
NA,"Davao, Philippines",34.8,7.8,21.9,32.4,20.8,23.2,2019
NA,"Novi Sad, Serbia",34.8,7.1,21.5,26.8,27.4,45.2,2019
NA,"Skopje, North Macedonia",34.4,7.9,21.7,26.9,27.9,40.4,2019
NA,"Yekaterinburg, Russia",34.3,10.6,23,28,32.4,48,2019
NA,"Ankara, Turkey",34.3,5.9,20.7,30.2,23,49.4,2019
NA,"Dhaka, Bangladesh",33.9,6,20.5,31,20.4,38.4,2019
NA,"Nis, Serbia",33.9,5.5,20.3,26.3,28.5,38.6,2019
NA,"Minsk, Belarus",33.4,10.3,22.3,27.9,36.1,46,2019
NA,"Chisinau, Moldova",33.2,8.6,21.4,25.6,29.8,31.6,2019
NA,"Algiers, Algeria",33.1,7.9,21,34.4,21.2,32.9,2019
NA,"Craiova, Romania",33,7.5,20.7,28.5,25.4,55.1,2019
NA,"Guadalajara, Mexico",32.9,9.1,21.5,31.7,29.2,48.8,2019
NA,"Kampala, Uganda",32.8,10.2,22,28.1,24.7,21.8,2019
NA,"Queretaro (Santiago de Querétaro), Mexico",32.7,9.2,21.4,30.8,28.9,53.8,2019
NA,"Yerevan, Armenia",32.6,9.9,21.7,25.6,32.7,33.7,2019
NA,"Bogota, Colombia",32.5,12.4,22.8,25.1,25.6,30.5,2019
NA,"Antalya, Turkey",32.4,5.4,19.4,30.6,23.5,56.4,2019
NA,"Colombo, Sri Lanka",32.3,8.9,21.1,36.4,19.7,26.2,2019
NA,"Novosibirsk, Russia",32.1,10.4,21.7,29.5,28.6,46,2019
NA,"Asuncion, Paraguay",32,9.9,21.4,26.2,25.6,36.1,2019
NA,"Puebla, Mexico",31.9,7.6,20.2,29.5,25.2,33,2019
NA,"Astana (Nur-Sultan), Kazakhstan",31.9,10.8,21.8,25.5,34,42,2019
NA,"Barranquilla, Colombia",31.6,8.5,20.5,24,23.3,41.2,2019
NA,"Krasnodar, Russia",31.4,9.4,20.8,26.4,31.5,45.4,2019
NA,"Kathmandu, Nepal",31.2,5.1,18.7,28,20.6,25.3,2019
NA,"Gurgaon, India",30.8,9.5,20.6,28.5,25.9,104,2019
NA,"Medellin, Colombia",30.5,8.8,20.1,26.6,22.9,36,2019
NA,"Kiev (Kyiv), Ukraine",30.3,14.4,22.7,24,26.1,39,2019
NA,"Almaty, Kazakhstan",30.2,10.7,20.8,24.1,29,40.2,2019
NA,"Merida, Mexico",30.2,7.1,19.1,28.1,25.5,41.7,2019
NA,"Baku, Azerbaijan",29.7,9.2,19.8,24.3,32.2,31.6,2019
NA,"Odessa (Odesa), Ukraine",29.2,9.5,19.8,22.8,24.3,31.4,2019
NA,"Mumbai, India",29,20.1,24.7,28.2,26.2,54.4,2019
NA,"Cali, Colombia",28.9,6.7,18.2,24.3,21,38.6,2019
NA,"Dnipro, Ukraine",28.7,7.5,18.5,22.7,24.3,34.8,2019
NA,"Noida, India",28.6,6,17.7,25.4,24.2,83.6,2019
NA,"Tbilisi, Georgia",28.5,9.1,19.2,22.7,26.9,34.6,2019
NA,"Delhi, India",28,8.2,18.5,25.8,25.9,61.2,2019
NA,"Tashkent, Uzbekistan",28,8.2,18.5,24.3,22.7,26.9,2019
NA,"Bangalore, India",27.9,8.6,18.6,28.3,20.4,88.3,2019
NA,"Cairo, Egypt",27.9,5.8,17.3,23.9,25.4,24.7,2019
NA,"Pune, India",27.4,7.5,17.9,27.8,22.5,75,2019
NA,"Kharkiv, Ukraine",27.3,8.8,18.4,20.8,21.6,30.8,2019
NA,"Lviv, Ukraine",26.9,9.3,18.5,22.1,20.2,31.7,2019
NA,"Thane, India",26,9.5,18.1,25.4,22.9,74.8,2019
NA,"Pristina, Kosovo (Disputed Territory)",25.8,8.3,17.4,22.8,20,66,2019
NA,"Alexandria, Egypt",25.5,3.9,15.1,23.3,20.1,22.9,2019
NA,"Chandigarh, India",25.4,5.6,15.9,25,18.4,57.5,2019
NA,"Goa, India",25.4,5.9,16,26.9,21.7,48.4,2019
NA,"Tunis, Tunisia",25.2,5.8,15.9,23.8,14.5,35.4,2019
NA,"Jaipur, India",25.2,5.2,15.6,24.2,18.1,69.8,2019
NA,"Caracas, Venezuela",25,6.9,16.3,26.6,21.4,3.9,2019
NA,"Chennai, India",25,7,16.3,25.6,15.8,63,2019
NA,"Indore, India",24.9,4.2,15,25.7,14.7,50.1,2019
NA,"Kolkata, India",24.7,5.3,15.4,24.3,21.3,55,2019
NA,"Patna, India",24.6,3.9,14.7,23,16.2,62.3,2019
NA,"Ahmedabad, India",24.1,4.7,14.8,25,17.2,59.1,2019
NA,"Hyderabad, India",24,5.9,15.3,24.3,17,67.7,2019
NA,"Guwahati, India",23.8,4.1,14.3,25.9,13.7,58.5,2019
NA,"Surat, India",23.5,3.6,14,24.8,17.9,63.3,2019
NA,"Lahore, Pakistan",23.5,4.6,14.4,20.2,21.4,36.4,2019
NA,"Lucknow (Lakhnau), India",23.5,4.4,14.3,22.2,18.7,64.8,2019
NA,"Mangalore, India",23.2,4.8,14.4,24.3,17.3,69.6,2019
NA,"Islamabad, Pakistan",23.1,6,14.9,21.2,18.4,46.2,2019
NA,"Mysore, India",23.1,4.3,14.1,25.8,14.9,45.9,2019
NA,"Bhubaneswar, India",22.6,4.2,13.8,25,13,68,2019
NA,"Bhopal, India",22.5,3.3,13.3,21,16,61.9,2019
NA,"Coimbatore, India",22.3,4.8,13.9,23.2,14.4,53.9,2019
NA,"Vadodara, India",22.1,3.6,13.2,21.7,14.9,73.2,2019
NA,"Navi Mumbai, India",22.1,5.4,14.1,22.6,15.2,124.3,2019
NA,"Karachi, Pakistan",21.6,5.1,13.7,19.2,17.2,33.2,2019
NA,"Kochi, India",21.5,5.2,13.7,22.5,12.3,69.6,2019
NA,"Visakhapatnam, India",20.6,4.1,12.7,20.1,15.7,56.8,2019
NA,"Vijayawada, India",20.4,5,13,20.2,13,65.5,2019
NA,"Thiruvananthapuram, India",20,4.5,12.5,21,11,66.6,2019
NA,"Rawalpindi, Pakistan",18.9,3.5,11.5,16.3,15.9,39.6,2019
NA,"Zurich, Switzerland",128.3,61.7,96.4,128,124.7,126.9,2020
NA,"Basel, Switzerland",125.5,45.8,87.4,125,123.1,121.5,2020
NA,"Lausanne, Switzerland",124,50.6,88.9,127.3,123.6,110.5,2020
NA,"Geneva, Switzerland",119,68.5,94.8,112.9,119.6,111.2,2020
NA,"Bern, Switzerland",116,40.5,79.9,107.6,115.6,131.9,2020
NA,"Stavanger, Norway",102.3,36.1,70.6,91,112.4,87.6,2020
NA,"Oslo, Norway",101.7,44.1,74.1,89.3,112,86.5,2020
NA,"Trondheim, Norway",101.6,37.6,71,95.5,102.7,89.3,2020
NA,"Reykjavik, Iceland",100.8,51.2,77.1,84.9,120.6,81.1,2020
NA,"Bergen, Norway",100.2,35.2,69.1,88.4,111.6,94.1,2020
NA,"New York, NY, United States",100,100,100,100,100,100,2020
NA,"San Francisco, CA, United States",91.5,115.6,103,86.9,94.4,135.9,2020
NA,"Anchorage, AK, United States",91.4,38.9,66.3,88.4,78.9,118.4,2020
NA,"Honolulu, HI, United States",89.7,63,76.9,89.8,83.6,88.3,2020
NA,"Brooklyn, NY, United States",88.8,80.5,84.8,83.2,92.8,92.9,2020
NA,"Aalborg, Denmark",88.4,24.2,57.7,75.3,103,115.9,2020
NA,"Washington, DC, United States",87.7,78.2,83.2,86.4,87.5,130.2,2020
NA,"Tokyo, Japan",86.9,38,63.5,83.4,56.7,89.7,2020
NA,"Oakland, CA, United States",86.5,79.6,83.2,89.3,74.6,113.6,2020
NA,"Tel Aviv-Yafo, Israel",86.4,45.3,66.7,73,93.8,74.3,2020
NA,"Copenhagen, Denmark",86.2,44.5,66.3,62.8,104.6,90.7,2020
NA,"Seattle, WA, United States",85.8,65.7,76.2,81.7,81.2,133.4,2020
NA,"Seoul, South Korea",85.5,30.4,59.2,103.7,45.9,76.8,2020
NA,"Paris, France",85.2,47,66.9,79,81.3,71.2,2020
NA,"Luxembourg, Luxembourg",83.7,55.8,70.4,69.5,92.4,106.3,2020
NA,"Boston, MA, United States",82.9,74.5,78.9,81.2,81.9,112.4,2020
NA,"Bellevue, WA, United States",82.2,63.2,73.1,76.9,76.6,163.3,2020
NA,"London, United Kingdom",81.3,70,75.9,57.3,89,78.2,2020
NA,"Singapore, Singapore",81.1,63.3,72.6,66.8,59,89,2020
NA,"Aarhus, Denmark",81.1,31.2,57.2,62.4,88.7,100.8,2020
NA,"Haifa, Israel",80.3,21.5,52.2,63.5,88.3,83.8,2020
NA,"Chicago, IL, United States",80.2,58.6,69.9,76.5,76.7,113.5,2020
NA,"Osaka, Japan",79.5,22.6,52.3,77.7,45.5,85.8,2020
NA,"Jerusalem, Israel",79.4,32.5,57,61,90.2,71.2,2020
NA,"Sarasota, FL, United States",79.3,46.4,63.6,89.3,71.7,81.8,2020
NA,"Dublin, Ireland",79.2,61.8,70.8,60.5,82.5,76.6,2020
NA,"Sydney, Australia",79.1,53.2,66.7,71.2,69.4,97,2020
NA,"Amsterdam, Netherlands",78.9,54.3,67.1,59,81.9,84.4,2020
NA,"Philadelphia, PA, United States",78.8,46.9,63.5,77.5,72.8,100.2,2020
NA,"San Jose, CA, United States",78.6,83.3,80.9,71.4,83.2,143.5,2020
NA,"Portland, OR, United States",78.6,49.4,64.7,76,69,112.8,2020
NA,"Toronto, Canada",78.5,50.5,65.1,73.9,76.3,77.6,2020
NA,"New Orleans, LA, United States",78.5,41.3,60.7,77.4,75.8,89.8,2020
NA,"Hong Kong, Hong Kong (China)",77.2,79.6,78.3,75.9,54.4,65.3,2020
NA,"Sacramento, CA, United States",77,46.2,62.3,69.5,76.1,115.4,2020
NA,"Cork, Ireland",76.9,40.1,59.3,62.5,81.7,80.7,2020
NA,"Milan, Italy",76.8,41.2,59.8,63.8,78.4,57.5,2020
NA,"Utrecht, Netherlands",76.7,38,58.2,57.8,84.2,81.5,2020
NA,"Minneapolis, MN, United States",76.7,45.3,61.7,67.9,78.5,127.2,2020
NA,"Los Angeles, CA, United States",76.6,72.9,74.8,71.2,80,113.8,2020
NA,"Darwin, Australia",76.5,29,53.8,68.8,74.9,110,2020
NA,"Stockholm, Sweden",76.1,37.6,57.7,64.6,80.1,92.2,2020
NA,"Auckland, New Zealand",76.1,42.3,59.9,66.3,70.1,83.9,2020
NA,"Odense, Denmark",75.9,23.6,50.9,57.2,96.3,104.9,2020
NA,"Linz, Austria",75.7,26.1,52,65.5,79.8,81.3,2020
NA,"Uppsala, Sweden",75.6,25.2,51.5,67.2,79.5,88.4,2020
NA,"Brighton, United Kingdom",75.5,43,60,56.3,87.1,74.1,2020
NA,"Albany, NY, United States",75.4,33,55.1,69.5,80.4,105.1,2020
NA,"Innsbruck, Austria",75.3,29.8,53.5,65.2,73.7,73.9,2020
NA,"Galway, Ireland",75.2,36.5,56.7,61.1,80.4,74.6,2020
NA,"Canberra, Australia",75.2,39.3,58,72,72.7,117.6,2020
NA,"Haarlem, Netherlands",75.1,41.6,59.1,55.6,80.5,89.4,2020
NA,"Newcastle, Australia",74.7,33.1,54.8,65.2,80,124.8,2020
NA,"Jacksonville, FL, United States",74.6,33.6,55,76.9,78.8,120.9,2020
NA,"Graz, Austria",74.4,21.2,48.9,67.8,62.6,81.4,2020
NA,"Baltimore, MD, United States",74.3,42.6,59.1,68,76.7,125.2,2020
NA,"San Diego, CA, United States",74.2,66.8,70.7,67.6,76.8,130.2,2020
NA,"Miami, FL, United States",74.2,57.6,66.2,67.4,78.4,100.3,2020
NA,"Perth, Australia",73.9,29.5,52.7,65.3,74.4,101.5,2020
NA,"Buffalo, NY, United States",73.9,28.3,52.1,69.4,71.2,107,2020
NA,"Vancouver, Canada",73.9,51.9,63.4,73.6,70.4,89,2020
NA,"Atlanta, GA, United States",73.9,46.8,60.9,69.8,69.8,140.5,2020
NA,"Reno, NV, United States",73.8,38.2,56.8,75,75.2,116.1,2020
NA,"Eindhoven, Netherlands",73.8,33.7,54.6,56.8,78.6,102.2,2020
NA,"Pittsburgh, PA, United States",73.6,35.9,55.6,70.4,63.4,123.1,2020
NA,"Lyon, France",73.5,24.7,50.1,67,70.1,83.3,2020
NA,"Denver, CO, United States",73.3,52,63.1,65.1,78.2,130.3,2020
NA,"Nashville, TN, United States",73.2,46.8,60.5,65.3,80.8,122.7,2020
NA,"Christchurch, New Zealand",73.2,29.2,52.1,66.5,71.7,96.5,2020
NA,"Bristol, United Kingdom",73.2,36.8,55.8,56.8,84,91,2020
NA,"Gold Coast, Australia",73.2,36.1,55.4,65.7,76.8,107.9,2020
NA,"Leiden, Netherlands",73.1,31.9,53.4,55.3,74,86.7,2020
NA,"Reading, United Kingdom",72.9,40.7,57.5,63,68.7,109.2,2020
NA,"Brisbane, Australia",72.8,35.1,54.8,67.2,70.8,119,2020
NA,"Gent, Belgium",72.7,24.3,49.6,58.4,79.5,78.7,2020
NA,"Marseille, France",72.5,22.4,48.5,68.8,69.3,68.8,2020
NA,"Melbourne, Australia",72.4,40,56.9,67,65.8,104.7,2020
NA,"Charlotte, NC, United States",72.4,42.4,58,62.2,79.7,144.3,2020
NA,"The Hague (Den Haag), Netherlands",72.4,33.4,53.7,54.9,80.5,93.3,2020
NA,"Helsinki, Finland",72.4,35.7,54.8,60,82,93.1,2020
NA,"Halifax, Canada",72.3,29.2,51.7,74.6,63.4,80.1,2020
NA,"Brussels, Belgium",72.3,30.1,52.1,60.7,81.4,94.1,2020
NA,"Florence, Italy",72.3,29.2,51.7,61,76.9,56.1,2020
NA,"Cambridge, United Kingdom",72.2,42.1,57.8,53.2,82.5,78.1,2020
NA,"Groningen, Netherlands",72.2,24.4,49.4,56.3,74.7,83.8,2020
NA,"Munich, Germany",72.2,44,58.7,54,74.7,96,2020
NA,"Montpellier, France",72.1,22.5,48.4,67.3,71.1,68.2,2020
NA,"Tucson, AZ, United States",72.1,26.4,50.3,63.6,69.7,105.2,2020
NA,"Toulouse, France",72,22,48.1,65.6,70.8,95.4,2020
NA,"Olympia, WA, United States",71.9,41.3,57.2,67.5,70.8,129.2,2020
NA,"Victoria, Canada",71.7,39,56.1,71,69.1,89.4,2020
NA,"Genoa, Italy",71.5,18.9,46.4,63.1,72,62.7,2020
NA,"Hamburg, Germany",71.2,33.7,53.3,53.5,67.4,102.7,2020
NA,"Gothenburg, Sweden",71.2,32.2,52.5,61.7,81.8,88.9,2020
NA,"Antwerp, Belgium",71,25.1,49,56,79.2,88.7,2020
NA,"Colorado Springs, CO, United States",71,36,54.2,70.1,59.4,112.6,2020
NA,"Oxford, United Kingdom",70.9,46.2,59.1,52.5,72.5,84.9,2020
NA,"Tacoma, WA, United States",70.9,41.2,56.7,59.7,71.3,113.9,2020
NA,"Saint Louis, MO, United States",70.8,29,50.8,70.3,64.5,126.3,2020
NA,"Tampere, Finland",70.7,24,48.4,56.8,76.7,103.8,2020
NA,"Calgary, Canada",70.7,28.7,50.6,64.1,70.3,124.3,2020
NA,"Columbus, OH, United States",70.5,31.4,51.8,66.3,67.4,142.2,2020
NA,"Wellington, New Zealand",70.5,38.5,55.2,64,64.2,106.7,2020
NA,"Rome, Italy",70.4,34.7,53.3,57,74.4,58.9,2020
NA,"York, United Kingdom",70.2,29.5,50.7,54.1,76.8,98.3,2020
NA,"San Juan, Puerto Rico",70.1,23.6,47.9,66,72.1,80,2020
NA,"Bologna, Italy",70,25.4,48.7,60.3,72.7,60.4,2020
NA,"Aberdeen, United Kingdom",70,26.3,49.1,54.5,77.7,116.3,2020
NA,"Edinburgh, United Kingdom",69.9,33.3,52.4,53.1,86.5,89.9,2020
NA,"St. John's, Newfoundland and Labrador, Canada",69.9,22.2,47.1,66.7,67,89.8,2020
NA,"Heidelberg, Germany",69.9,28.6,50.1,50.5,70,92.4,2020
NA,"Malmo, Sweden",69.8,26.1,48.9,61.3,71.8,90.2,2020
NA,"Raleigh, NC, United States",69.8,36.6,53.9,70.9,66.8,145.3,2020
NA,"Frankfurt, Germany",69.8,36.2,53.7,48.4,64.7,104.5,2020
NA,"Limerick, Ireland",69.8,31.5,51.4,57.4,67.4,74.4,2020
NA,"Rotterdam, Netherlands",69.7,37,54,52.8,70.2,91.7,2020
NA,"Edmonton, Canada",69.5,29,50.1,61.4,70.2,108.1,2020
NA,"Leicester, United Kingdom",69.3,21.6,46.5,54.6,69.8,88.9,2020
NA,"Saskatoon, Canada",69.2,24.4,47.8,64.2,64.4,93.1,2020
NA,"Kansas City, MO, United States",69.2,30.5,50.7,61.1,74.2,134.6,2020
NA,"Sliema, Malta",69.1,33.9,52.3,56.9,77.2,49.7,2020
NA,"Hobart, Australia",69.1,30.5,50.6,64,67.4,116.5,2020
NA,"Espoo, Finland",68.6,30.5,50.4,53.8,79.3,115.9,2020
NA,"Ottawa, Canada",68.6,34.1,52.1,61.8,68.5,119.7,2020
NA,"Adelaide, Australia",68.4,27.8,49,65.3,63.2,116.1,2020
NA,"Manchester, United Kingdom",68.2,30.9,50.4,52.8,76.6,88.2,2020
NA,"Regina, Canada",68.2,29.5,49.7,66.9,61.1,95.1,2020
NA,"Quebec City, Canada",68.1,17.2,43.7,69.5,59.2,110.5,2020
NA,"Dundee, United Kingdom",68,23.4,46.7,55.3,79.8,91.6,2020
NA,"Dallas, TX, United States",68,47.1,58,60.9,70.5,155.3,2020
NA,"Bonn, Germany",68,28.7,49.2,49.2,68.4,94.6,2020
NA,"Austin, TX, United States",67.8,52,60.3,63.8,72,145.8,2020
NA,"Stuttgart, Germany",67.7,32.5,50.9,50.6,68.9,103.8,2020
NA,"Las Vegas, NV, United States",67.5,36.3,52.5,55.7,76.3,127.9,2020
NA,"Birmingham, United Kingdom",67.4,29.5,49.3,52.1,75.8,86.6,2020
NA,"Phoenix, AZ, United States",67.4,36.2,52.5,61.5,67.8,127.3,2020
NA,"Montreal, Canada",67.4,28.5,48.8,67.7,62.7,96.6,2020
NA,"Richmond, VA, United States",67.2,33.9,51.3,59.1,76.4,112.6,2020
NA,"Tampa, FL, United States",67.1,40.8,54.5,64.8,63.5,126.2,2020
NA,"Dusseldorf, Germany",67,27.5,48.1,49.9,63.4,99.6,2020
NA,"Lille, France",66.9,23.7,46.3,57.9,64.1,86.2,2020
