Rank,City,Cost_of_Living_Index,Rent_Index,Cost_of_Living_Plus_Rent_Index,Groceries_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Year
NA,"Gothenburg, Sweden",110.1,29.1,81,98.2,92,71.5,2011
NA,"Brisbane, Australia",109.3,48.8,87.6,113.4,90.1,119.2,2011
NA,"Cambridge, United Kingdom",107.8,52.2,87.8,107.7,123,97.5,2011
NA,"Rome, Italy",107,64.9,91.9,81.6,128.3,54.9,2011
NA,"Poitiers, France",106.9,22.7,76.7,92.9,104.5,95.5,2011
NA,"Auckland, New Zealand",106.9,31.7,79.9,101.1,96.1,85.1,2011
NA,"Cagliari, Italy",106.1,25.6,77.2,67.6,136.8,66.4,2011
NA,"Vienna, Austria",105.9,47.2,84.8,90.7,81.2,97.1,2011
NA,"Canberra, Australia",105.9,37.1,81.2,103.7,80.6,117.5,2011
NA,"Turin, Italy",105.5,40.2,82,84.1,104.8,52.1,2011
NA,"Aarhus, Denmark",105.5,77.7,95.5,88.2,115.6,77.2,2011
NA,"Melbourne, Australia",105.2,49.8,85.3,103.6,82,106.3,2011
NA,"London, United Kingdom",105.1,84.5,97.7,90.2,102.7,94.7,2011
NA,"Stockholm, Sweden",104.8,38.7,81.1,87.5,102.7,83.7,2011
NA,"Milan, Italy",103.9,58.7,87.7,89.1,110.1,58.5,2011
NA,"Hanover, Germany",103.7,31.3,77.7,81.9,73.8,89.6,2011
NA,"Bologna, Italy",103.4,47.2,83.2,103.6,95.4,132.1,2011
NA,"Vancouver, Canada",103.2,66.1,89.8,110,85.1,85.2,2011
NA,"Hamburg, Germany",103.1,33.6,78.1,96.9,80,91.4,2011
NA,"Fort McMurray, Canada",102.9,54.4,85.5,101,76.8,126,2011
NA,"Calgary, Canada",102.8,46.2,82.4,107.5,80.3,127,2011
NA,"Helsinki, Finland",102.7,54.3,85.3,91.2,93.3,106.2,2011
NA,"Bath, United Kingdom",102.7,48,83,105.6,93.7,43.4,2011
NA,"Tokyo, Japan",100,77.6,92,89.7,83.3,114,2011
NA,"New York, NY, United States",100,100,100,100,100,100,2011
NA,"Lyon, France",99.4,43.7,79.4,77.5,116.3,86.6,2011
NA,"Brighton, United Kingdom",98.4,60.5,84.8,88.4,105,133.2,2011
NA,"Thunder Bay, Canada",97.7,46.7,79.4,105.2,54.6,101.6,2011
NA,"San Juan, Puerto Rico",97.1,32.6,73.9,71.8,81.2,22.5,2011
NA,"Leeds, United Kingdom",96.6,41.9,77,90.1,108.7,86.4,2011
NA,"Edmonton, Canada",95.7,37.2,74.7,107.1,70.8,83,2011
NA,"Halifax, Canada",95.6,37.1,74.6,106.1,79,89.1,2011
NA,"Birmingham, United Kingdom",95.2,46.1,77.6,100.3,70.8,59.2,2011
NA,"Ashdod, Israel",94.4,28.5,70.7,88.8,79.6,132.6,2011
NA,"Seattle, WA, United States",93.7,45.8,76.5,94.1,85.6,124.9,2011
NA,"Waterloo, Canada",93.4,30.4,70.8,88.7,79.2,99,2011
NA,"Brasilia, Brazil",93.3,34,72,52.8,76.4,63.8,2011
NA,"Reykjavik, Iceland",93.3,35.4,72.5,111.7,90,93.8,2011
NA,"Madrid, Spain",93.2,49.1,77.4,71.5,83.5,62.8,2011
NA,"Athens, Greece",93.1,22.7,67.8,77.1,83.9,46.5,2011
NA,"Munich, Germany",93,49.8,77.5,89.4,84.6,123.8,2011
NA,"Wellington, New Zealand",92.6,31.7,70.7,98.9,81.8,116.6,2011
NA,"Phoenix, AZ, United States",91.6,36.3,71.8,75.6,67.8,112.9,2011
NA,"Toronto, Canada",91.6,53.4,77.9,101.7,65.9,122.7,2011
NA,"Sao Paulo, Brazil",91.4,38.1,72.2,59.8,63.3,68.6,2011
NA,"Christchurch, New Zealand",91.1,30.9,69.5,98.5,73.9,74.4,2011
NA,"Winnipeg, Canada",90.2,31.3,69,101.2,62.1,89.6,2011
NA,"Hamilton, Canada",89.8,29.7,68.2,88.9,72.4,103.1,2011
NA,"Boston, MA, United States",89.8,60.8,79.4,88.7,79.3,128.9,2011
NA,"Oxford, United Kingdom",89.2,61.7,79.3,91.3,85.3,100.5,2011
NA,"Los Angeles, CA, United States",89.2,63.1,79.8,80.8,68.2,130.4,2011
NA,"Tampa, FL, United States",89.1,35,69.7,61.2,62.2,104.8,2011
NA,"Montreal, Canada",89.1,40.7,71.7,95.4,74.8,107.3,2011
NA,"Bradford, United Kingdom",88.9,41.2,71.8,93.3,60.4,46.6,2011
NA,"Singapore, Singapore",88.8,84.9,87.4,88.2,52.7,82.5,2011
NA,"San Francisco, CA, United States",88.1,95.8,90.8,82.8,72.7,107.1,2011
NA,"Miami, FL, United States",87.9,62,78.6,68.6,79,85.6,2011
NA,"Abu Dhabi, United Arab Emirates",87.7,93.9,89.9,68.4,118.2,80.5,2011
NA,"Nicosia, Cyprus",87.2,30.2,66.7,76.8,90.8,92.1,2011
NA,"San Diego, CA, United States",86.6,65.1,78.9,78.5,95.5,102.8,2011
NA,"Boise, ID, United States",86.3,28.7,65.6,71.9,56.7,120.4,2011
NA,"Rio de Janeiro, Brazil",86.1,43.5,70.8,52.7,67,51.9,2011
NA,"Dallas, TX, United States",85.9,38.3,68.8,77.6,59,127.6,2011
NA,"Seixal, Portugal",85.4,46.6,71.5,63.7,59.9,42,2011
NA,"Pamplona, Spain",84.6,43,69.7,44.4,78.8,55.2,2011
NA,"Berlin, Germany",84.6,36.1,67.2,73,63.8,119.3,2011
NA,"Minneapolis, MN, United States",83.5,45,69.7,87.8,78.2,123.2,2011
NA,"Barcelona, Spain",83.1,40.4,67.8,59.5,67,60.8,2011
NA,"Rabat, Morocco",82.8,29.4,63.6,65.7,43.3,10.4,2011
NA,"Atlanta, GA, United States",82.5,37.8,66.5,68.3,66.2,103,2011
NA,"San Jose, CA, United States",81.9,65.1,75.9,84,59.3,125.6,2011
NA,"Regina, Canada",81.6,37,65.6,96.9,73.4,114.3,2011
NA,"Frankfurt, Germany",81.3,40.6,66.7,69.1,72.1,136.2,2011
NA,"Sliema, Malta",81.1,30.2,62.8,67.7,77.7,81.6,2011
NA,"Ottawa, Canada",80.5,40.5,66.1,82.3,68.7,137,2011
NA,"Porto, Portugal",79.9,34.3,63.5,48.1,54.5,47.6,2011
NA,"New Orleans, LA, United States",79.6,47.3,68,59.8,54.7,70.9,2011
NA,"Louisville, KY, United States",79.3,21.3,58.5,73.9,53.1,95.4,2011
NA,"Hong Kong, Hong Kong (China)",79.3,81.9,80.2,72.5,57.4,76.6,2011
NA,"Seville (Sevilla), Spain",79.3,37.5,64.3,61.1,66.8,66.8,2011
NA,"Memphis, TN, United States",79.1,36.9,63.9,64.9,55.8,93,2011
NA,"Philadelphia, PA, United States",78.6,61.1,72.3,73.5,66.8,112.2,2011
NA,"Milwaukee, WI, United States",78.2,36.1,63.1,72.4,73.6,103.3,2011
NA,"Pretoria, South Africa",77.6,49.2,67.4,71,65.3,52.9,2011
NA,"Hartford, CT, United States",77,57.1,69.9,102.5,55.4,116.1,2011
NA,"Preston, United Kingdom",76.6,39.5,63.3,86.7,75.8,106.9,2011
NA,"San Jose, Costa Rica",76.4,24.4,57.7,84.6,66.8,37.5,2011
NA,"Zagreb, Croatia",75.5,24.8,57.3,68,53,48.5,2011
NA,"Lisbon, Portugal",74.6,30.2,58.7,52.8,55.6,56.8,2011
NA,"San Antonio, TX, United States",74.4,30.4,58.6,67.3,76.5,117.7,2011
NA,"Kansas City, MO, United States",74.4,42.9,63.1,67.5,58,96.8,2011
NA,"Londrina, Brazil",74.3,26.6,57.2,53.3,44.7,34.6,2011
NA,"Moscow, Russia",74.2,64.1,70.6,49.4,82.2,34.4,2011
NA,"Dubai, United Arab Emirates",74.2,75.1,74.5,55,84.1,134.5,2011
NA,"Cleveland, OH, United States",74.1,41.1,62.2,65.8,64.6,119.4,2011
NA,"Istanbul, Turkey",73.8,31,58.4,61.2,47,65.6,2011
NA,"Cape Town, South Africa",73.7,28.1,57.4,54.5,60.4,96.6,2011
NA,"Austin, TX, United States",73.4,46.6,63.8,73.6,61.2,130.5,2011
NA,"Riga, Latvia",73.2,21,54.5,48.9,77.1,29.6,2011
NA,"Ljubljana, Slovenia",73.2,34.6,59.3,60.2,59.8,70.1,2011
NA,"Detroit, MI, United States",72.4,32.9,58.2,67.7,59.1,98.9,2011
NA,"Casablanca, Morocco",72.3,18,52.8,74.6,56.3,11.9,2011
NA,"Montevideo, Uruguay",72.1,18.3,52.8,61,52.4,44.1,2011
NA,"Fresno, CA, United States",71.6,30.9,57,70.2,56.6,99.6,2011
NA,"Curitiba, Brazil",71.4,21.2,53.4,48.9,34.6,48.6,2011
NA,"Balneario Camboriu, Brazil",70.8,21.1,53,40.6,43.4,81.2,2011
NA,"Albuquerque, NM, United States",70.4,35.5,57.9,75.6,58.3,116.8,2011
NA,"Johannesburg, South Africa",70.3,42.5,60.3,59.1,48.7,46.8,2011
NA,"Valencia, Spain",68.3,23.6,52.2,42.6,64.7,79.5,2011
NA,"Gaziantep, Turkey",68,10.1,47.2,47.9,46.2,56.3,2011
NA,"Santander, Spain",68,36.8,56.8,56.1,62.3,64.5,2011
NA,"Koper, Slovenia",67.5,22.1,51.2,74.1,40.9,57.2,2011
NA,"Baku, Azerbaijan",67.3,59.5,64.5,47,57.8,33,2011
NA,"Bratislava, Slovakia",66.8,28.9,53.2,58,46.6,63.7,2011
NA,"Kingston upon Hull, United Kingdom",66.8,27.3,52.6,60,46.5,96.2,2011
NA,"Mugla, Turkey",66.8,17.2,49,47,47.1,28.2,2011
NA,"Seoul, South Korea",66.7,32.7,54.5,81.3,58,124.1,2011
NA,"Santiago, Chile",64.7,18.1,48,52.5,59.1,57.5,2011
NA,"Belo Horizonte, Brazil",64.7,28.6,51.8,38.5,60.2,64.7,2011
NA,"Vitoria, Brazil",64.3,15.9,46.9,48.5,39,32.7,2011
NA,"Prague, Czech Republic",64.2,34,53.4,51.5,43.3,65.6,2011
NA,"Santo Domingo, Dominican Republic",64.1,26.7,50.7,57.5,47.7,34.7,2011
NA,"Vilnius, Lithuania",64.1,19.7,48.1,57.9,42.4,32.4,2011
NA,"Cancun, Mexico",63.7,21.3,48.5,48.7,53.7,34.8,2011
NA,"Amman, Jordan",63.3,19.9,47.7,60.2,45.2,34.2,2011
NA,"Budapest, Hungary",63.1,26.6,50,62.1,47.4,37.3,2011
NA,"Ankara, Turkey",62.5,24.2,48.8,54.4,49.7,68.6,2011
NA,"Antalya, Turkey",62.3,11.9,44.2,48.1,44.9,42.4,2011
NA,"Santa Cruz de Tenerife, Spain",62.3,27,49.6,48.9,50.4,76.8,2011
NA,"Tallinn, Estonia",62,17.4,46,45.6,66.9,65.8,2011
NA,"Osijek, Croatia",61.6,14.5,44.7,60.7,39.9,35.1,2011
NA,"Brno, Czech Republic",60.9,26.9,48.7,47.2,46,54.2,2011
NA,"Belgrade, Serbia",59.9,21.3,46,39.9,47.1,30.8,2011
NA,"Budva, Montenegro",59.5,22.9,46.4,44.8,48.9,27.6,2011
NA,"Saint Petersburg, Russia",59.1,33.7,50,39.9,57.4,41.2,2011
NA,"Sarajevo, Bosnia And Herzegovina",58.9,9.4,41.1,49.6,38.6,41.2,2011
NA,"Yerevan, Armenia",58.7,25.9,46.9,27.6,47.4,17.4,2011
NA,"Poznan, Poland",57.4,14.2,41.9,46.3,48.3,78.5,2011
NA,"Warsaw, Poland",57.2,29.2,47.2,38.7,44.7,67.1,2011
NA,"Medellin, Colombia",56.9,11.7,40.7,42.9,36.5,19.9,2011
NA,"Buenos Aires, Argentina",56.8,19.5,43.4,51.3,44.3,49.1,2011
NA,"Sofia, Bulgaria",56.7,20.8,43.8,47.8,38.6,36.2,2011
NA,"Mexico City, Mexico",56.6,20.6,43.7,50,40,42.6,2011
NA,"Taipei, Taiwan",56.3,24.1,44.8,58.6,33.2,89.7,2011
NA,"Damascus, Syria",56.1,15.1,41.4,47.7,42,19.6,2011
NA,"Bogota, Colombia",56,19.6,42.9,50.5,35.5,41.1,2011
NA,"Shanghai, China",55.9,32.5,47.5,59.8,47.9,30.2,2011
NA,"Caracas, Venezuela",55.8,34.9,48.3,48.3,57,45.1,2011
NA,"Quito, Ecuador",55,19.3,42.2,56.7,39.3,38.5,2011
NA,"Wroclaw, Poland",54.8,20.2,42.3,44.2,56.4,58.3,2011
NA,"Jakarta, Indonesia",54.1,24.1,43.3,59.5,29.9,24.7,2011
NA,"Krakow (Cracow), Poland",52.1,23.4,41.8,48.5,35.5,50.4,2011
NA,"Guadalajara, Mexico",52,14.9,38.7,52.3,44.1,89.1,2011
NA,"Cairo, Egypt",51.3,21.3,40.5,46.1,37.9,13.3,2011
NA,"Cluj-Napoca, Romania",51.3,11,36.8,42.3,32.3,34.9,2011
NA,"Banja Luka, Bosnia And Herzegovina",51.3,13.2,37.6,48.5,41.8,43.9,2011
NA,"Beijing, China",51.2,28.3,43,55.1,27.2,32.5,2011
NA,"Minsk, Belarus",50.6,19.1,39.3,40.5,58.4,20.6,2011
NA,"Kiev (Kyiv), Ukraine",50.4,26.3,41.8,31.9,49.5,39.3,2011
NA,"Monterrey, Mexico",50.4,17.4,38.5,37,44.3,67.9,2011
NA,"Panama City, Panama",50.3,21.7,40.1,39.2,38.4,69.7,2011
NA,"Kuala Lumpur, Malaysia",50.1,15,37.5,45.1,25.6,86.9,2011
NA,"Bucharest, Romania",49.9,16.7,38,40.4,38.8,34.7,2011
NA,"Constanta, Romania",49.6,11.6,36,38.9,38.3,40.4,2011
NA,"'afrin, Syria",48.9,5.4,33.3,34.5,53.6,24.3,2011
